"TIME","GEO","AGE","UNIT","Value"
"2019","Slovakia","From 65 to 74 years","Average","11.3"
"2019","Finland","From 65 to 74 years","Average","21.8"
"2019","Sweden","From 65 to 74 years","Average","26.9"
"2019","Iceland","From 65 to 74 years","Average",":"
"2019","Norway","From 65 to 74 years","Average","24.0"
"2019","Switzerland","From 65 to 74 years","Average","33.2"
"2019","United Kingdom","From 65 to 74 years","Average",":"
"2019","Montenegro","From 65 to 74 years","Average","17.0"
"2019","North Macedonia","From 65 to 74 years","Average","18.7"
"2019","Albania","From 65 to 74 years","Average","16.0"
"2019","Serbia","From 65 to 74 years","Average","18.5"
"2019","Turkey","From 65 to 74 years","Average","13.7"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","From 65 to 74 years","Average",":"
"2020","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 65 to 74 years","Average",":"
"2020","European Union - 27 countries (from 2020)","From 65 to 74 years","Average",":"
"2020","European Union - 28 countries (2013-2020)","From 65 to 74 years","Average",":"
"2020","European Union - 27 countries (2007-2013)","From 65 to 74 years","Average",":"
"2020","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","From 65 to 74 years","Average",":"
"2020","Euro area - 19 countries  (from 2015)","From 65 to 74 years","Average",":"
"2020","Euro area - 18 countries (2014)","From 65 to 74 years","Average",":"
"2020","Belgium","From 65 to 74 years","Average","35.6"
"2020","Bulgaria","From 65 to 74 years","Average","19.6"
"2020","Czechia","From 65 to 74 years","Average","15.0"
"2020","Denmark","From 65 to 74 years","Average","4.6"
"2020","Germany (until 1990 former territory of the FRG)","From 65 to 74 years","Average","39.0"
"2020","Estonia","From 65 to 74 years","Average","0.1"
"2020","Ireland","From 65 to 74 years","Average","29.8"
"2020","Greece","From 65 to 74 years","Average","21.5"
"2020","Spain","From 65 to 74 years","Average","25.2"
"2020","France","From 65 to 74 years","Average","28.9"
"2020","Croatia","From 65 to 74 years","Average","23.3"
"2020","Italy","From 65 to 74 years","Average",":"
"2020","Cyprus","From 65 to 74 years","Average","33.0"
"2020","Latvia","From 65 to 74 years","Average","2.3"
"2020","Lithuania","From 65 to 74 years","Average","15.0"
"2020","Luxembourg","From 65 to 74 years","Average","40.5"
"2020","Hungary","From 65 to 74 years","Average","2.4"
"2020","Malta","From 65 to 74 years","Average","41.5"
"2020","Netherlands","From 65 to 74 years","Average","41.3"
"2020","Austria","From 65 to 74 years","Average","36.2"
"2020","Poland","From 65 to 74 years","Average","22.6"
"2020","Portugal","From 65 to 74 years","Average","23.2"
"2020","Romania","From 65 to 74 years","Average","22.2"
"2020","Slovenia","From 65 to 74 years","Average","9.4"
"2020","Slovakia","From 65 to 74 years","Average","11.1"
"2020","Finland","From 65 to 74 years","Average","21.1"
"2020","Sweden","From 65 to 74 years","Average","27.2"
"2020","Iceland","From 65 to 74 years","Average",":"
"2020","Norway","From 65 to 74 years","Average","20.4"
"2020","Switzerland","From 65 to 74 years","Average","33.2"
"2020","United Kingdom","From 65 to 74 years","Average",":"
"2020","Montenegro","From 65 to 74 years","Average","15.7"
"2020","North Macedonia","From 65 to 74 years","Average",":"
"2020","Albania","From 65 to 74 years","Average",":"
"2020","Serbia","From 65 to 74 years","Average","13.5"
"2020","Turkey","From 65 to 74 years","Average","16.5"
"2020","Kosovo (under United Nations Security Council Resolution 1244/99)","From 65 to 74 years","Average",":"
